"txid","refid","time","type","aclass","asset","amount","fee","balance"
"LXZ5TI-RDS4G-K4JY7D","TV22DT-Z76QQ-MYY73F","2017-10-22 13:27:36","trade","currency","XXBT",-0.0110000000,0.0000000000,1.3700248200
"LF2O7U-IYWGB-PSEBST","TV22DT-Z76QQ-MYY73F","2017-10-22 13:27:36","trade","currency","ZEUR",54.8361,0.0877,657.7381
"L5KLPT-S5BPQ-DLVBJJ","TOXHGH-FRD7Z-NJ5L3S","2017-10-22 13:27:47","trade","currency","XXBT",-0.0460611000,0.0000000000,1.3239637200
"LBLXKZ-4P54C-IAHGTK","TOXHGH-FRD7Z-NJ5L3S","2017-10-22 13:27:47","trade","currency","ZEUR",229.6192,0.3674,886.9899
"LR2SEI-J6OXB-DZV2J5","TSWIH2-5375T-XCKROH","2017-10-22 13:27:59","trade","currency","XXBT",-0.0053624200,0.0000000000,1.3186013000
"L35TQC-UGZQO-RV3ANX","TSWIH2-5375T-XCKROH","2017-10-22 13:27:59","trade","currency","ZEUR",26.7322,0.0428,913.6793
"LGDQOU-X3VZR-N23ADP","T5UQ7K-OL6T4-HMIFAO","2017-10-22 13:28:11","trade","currency","XXBT",-0.0034217500,0.0000000000,1.3151795500
"L7XQWO-HGGCV-EP7EK7","T5UQ7K-OL6T4-HMIFAO","2017-10-22 13:28:11","trade","currency","ZEUR",17.0578,0.0273,930.7098
"LSMB5K-SXYGB-DSVFG2","TX3ZR5-MLE2D-QJLZEA","2017-10-22 13:28:11","trade","currency","XXBT",-0.0370688200,0.0000000000,1.2781107300
"LGK2HU-JWI7Z-23JYNE","TX3ZR5-MLE2D-QJLZEA","2017-10-22 13:28:11","trade","currency","ZEUR",184.7918,0.2957,1115.2059
"LDJF6A-NQVNF-YIHM67","TWY7PC-ADKFA-QNASLQ","2017-10-22 13:28:27","trade","currency","XXBT",-0.0366935600,0.0000000000,1.2414171700
"LFMWEB-4O37P-QAZDIK","TWY7PC-ADKFA-QNASLQ","2017-10-22 13:28:27","trade","currency","ZEUR",182.9211,0.2927,1297.8343
"LPAEZK-N7NCQ-OXMRK2","TDESDL-M3CKB-XGD3Z3","2017-10-22 13:28:33","trade","currency","XXBT",-1.2392042300,0.0000000000,0.0022129400
"LEOWML-ILSLP-LSQRFR","TDESDL-M3CKB-XGD3Z3","2017-10-22 13:28:33","trade","currency","ZEUR",6177.5570,9.8841,7465.5072
"","QGBFTHZ-GNRK3R-PKEP44","2017-10-22 13:42:57","deposit","currency","XXBT",0.5000000000,0.0000000000,""
"LPJU5F-PV7F6-D5LYKF","QGBFTHZ-GNRK3R-PKEP44","2017-10-22 14:45:13","deposit","currency","XXBT",0.5000000000,0.0000000000,0.5022129400
"LFA7VL-A7AH2-E6ABU2","TM4Y3W-JRC3Z-ESHYFA","2017-10-22 15:22:19","trade","currency","XXBT",-0.0225695800,0.0000586800,0.4795846800
"LM25CL-ISQ3Z-AH6Y5J","TM4Y3W-JRC3Z-ESHYFA","2017-10-22 15:22:19","trade","currency","ZEUR",114.7663,0.0000,7580.2735
"LLBWOV-VWGQZ-SXURFR","TTQ7JA-7OSLL-JQJYE4","2017-10-22 15:22:25","trade","currency","XXBT",-0.4774304200,0.0012425100,0.0009117500
"LYZKOK-JJVOX-FROYK7","TTQ7JA-7OSLL-JQJYE4","2017-10-22 15:22:25","trade","currency","ZEUR",2428.6408,0.0000,10008.9143
"","QGBJV7N-6ZC7UU-LD4W3V","2017-10-25 14:41:51","deposit","currency","XXBT",0.5990000000,0.0000000000,""
"","QGB6QVS-6MN32I-NH7CSB","2017-10-25 15:02:53","deposit","currency","XXBT",0.9990000000,0.0000000000,""
"LMFUOZ-WXUVK-QDDQLN","QGBJV7N-6ZC7UU-LD4W3V","2017-10-25 15:37:04","deposit","currency","XXBT",0.5990000000,0.0000000000,0.5999117500
"LPHQON-BDMRS-RT2JD2","QGB6QVS-6MN32I-NH7CSB","2017-10-25 15:50:15","deposit","currency","XXBT",0.9990000000,0.0000000000,1.5989117500
"LIDGJS-7WUGS-A7GHIO","TRFALF-4FHVV-MTDQH6","2017-10-25 16:03:52","trade","currency","XXBT",-0.6206297900,0.0000000000,0.9782819600
"LXP7LE-73YVY-G4VXRO","TRFALF-4FHVV-MTDQH6","2017-10-25 16:03:52","trade","currency","ZEUR",2927.2625,4.6836,12931.4932
"L25FDA-JRK3O-YJLTJF","TJLF73-7MEQX-B6DT3E","2017-10-25 16:04:49","trade","currency","XXBT",-0.2488498300,0.0000000000,0.7294321300
"LYMNEH-6GE4W-PLENZT","TJLF73-7MEQX-B6DT3E","2017-10-25 16:04:49","trade","currency","ZEUR",1173.7251,1.8780,14103.3403
"LZMNW5-R37JM-5H6UH2","TAWMIZ-Q7FBQ-OYI6CO","2017-10-25 16:04:49","trade","currency","XXBT",-0.1645140300,0.0000000000,0.5649181000
"LYX7ZA-OS3WR-6EW6ON","TAWMIZ-Q7FBQ-OYI6CO","2017-10-25 16:04:49","trade","currency","ZEUR",775.9469,1.2415,14878.0457
"L6Q5S4-IZZQI-CJEU56","TEZJ76-YQ4NE-CQW3YU","2017-10-25 16:04:49","trade","currency","XXBT",-0.0660063500,0.0000000000,0.4989117500
"LO4A4P-4J7CV-NEWEHO","TEZJ76-YQ4NE-CQW3YU","2017-10-25 16:04:49","trade","currency","ZEUR",311.3256,0.4981,15188.8732
"","QGBZ77B-YHY7WU-FE5AJG","2017-11-02 17:35:32","deposit","currency","XXBT",0.7000000000,0.0000000000,""
"LG3UTR-A3J2J-CQZ4FE","QGBZ77B-YHY7WU-FE5AJG","2017-11-02 18:27:56","deposit","currency","XXBT",0.7000000000,0.0000000000,1.1989117500
"LT3JRA-WH6C2-M23TTP","TV5QUD-QGJJL-2Q3OZL","2017-11-02 18:30:57","trade","currency","XXBT",-0.0049100000,0.0000000000,1.1940017500
"LOCBIU-PFLYN-3ISCTR","TV5QUD-QGJJL-2Q3OZL","2017-11-02 18:30:57","trade","currency","ZEUR",29.2636,0.0761,15218.0607
"L7IUF3-BOABX-TDMGYC","TQIBN4-D73SE-PS5WTQ","2017-11-02 18:30:57","trade","currency","XXBT",-0.0050368500,0.0000000000,1.1889649000
"LXNGK3-5BCNE-XAA42Q","TQIBN4-D73SE-PS5WTQ","2017-11-02 18:30:57","trade","currency","ZEUR",30.0000,0.0780,15247.9827
"LC6PNP-533M5-HI3FUQ","T6OLI2-HDEV2-4GRI3X","2017-11-02 18:30:57","trade","currency","XXBT",-0.3800531500,0.0000000000,0.8089117500
"LPJNRT-ZF2PG-2NO3VA","T6OLI2-HDEV2-4GRI3X","2017-11-02 18:30:57","trade","currency","ZEUR",2263.5966,5.8854,17505.6939
"LN4D5G-3TPFD-DPYFZ3","TLOS3M-ONUSD-566I5V","2017-11-14 15:38:28","trade","currency","XXBT",-0.1030587500,0.0000000000,0.7058530000
"LP6G7N-HHNC2-QHVF7X","TLOS3M-ONUSD-566I5V","2017-11-14 15:38:28","trade","currency","ZEUR",583.3125,1.5166,18087.4898
"LHIPXI-WGZ4V-MFDKOL","TXVR5U-7OCVB-RMGKM7","2017-11-14 15:38:29","trade","currency","XXBT",-0.0300000000,0.0000000000,0.6758530000
"LWMXE7-DG5U6-YDEWYZ","TXVR5U-7OCVB-RMGKM7","2017-11-14 15:38:29","trade","currency","ZEUR",169.8000,0.4415,18256.8483
"LOCOG2-LS53S-4J7BS6","TDMG3O-RG26G-3EDVSV","2017-11-14 15:38:29","trade","currency","XXBT",-0.0997809000,0.0000000000,0.5760721000
"LX6EVU-6POW2-G3TLYX","TDMG3O-RG26G-3EDVSV","2017-11-14 15:38:29","trade","currency","ZEUR",564.7599,1.4684,18820.1398
"LOK3DE-YVJRQ-W5K25K","TKIWEE-KDWOF-FNATNS","2017-11-14 15:38:29","trade","currency","XXBT",-0.1742000000,0.0000000000,0.4018721000
"LY76LG-LZEBU-VAKRH4","TKIWEE-KDWOF-FNATNS","2017-11-14 15:38:29","trade","currency","ZEUR",985.9720,2.5635,19803.5483
"LI6PRC-7JLBG-YZ2ZIZ","TOVEUY-CNWAO-BYC74O","2017-11-14 15:38:29","trade","currency","XXBT",-0.3929603500,0.0000000000,0.0089117500
"LZKXJG-CUP7C-ILUZFB","TOVEUY-CNWAO-BYC74O","2017-11-14 15:38:29","trade","currency","ZEUR",2224.1556,5.7828,22021.9211
"LJ44SX-LGZVJ-NR7GC3","T6UUSC-WRNXS-P4YWPG","2017-11-21 19:58:49","trade","currency","XREP",-1.0826162300,0.0000000000,8.8913885600
"LSIXRI-AE3KK-27X4UV","T6UUSC-WRNXS-P4YWPG","2017-11-21 19:58:49","trade","currency","XETH",0.0624020000,0.0001620000,0.3679016900
"LVUAYZ-U32VV-B5TUQ5","TGYGWS-LVV7U-IY7DHU","2017-11-21 19:58:49","trade","currency","XREP",-7.3232945600,0.0000000000,1.5680940000
"LPOJ4U-6657D-QNSO6A","TGYGWS-LVV7U-IY7DHU","2017-11-21 19:58:49","trade","currency","XETH",0.4218950000,0.0010970000,0.7886996900
"LYWYDE-AQWU2-XMCA5E","TSDOGA-33WJU-3TCK6T","2017-11-21 19:58:49","trade","currency","XREP",-0.5940892100,0.0000000000,0.9740047900
"LEUJ3Y-AN3XO-EC3OK2","TSDOGA-33WJU-3TCK6T","2017-11-21 19:58:49","trade","currency","XETH",0.0342200000,0.0000890000,0.8228306900
"","ACC6DVV-TUUKP4-LGWBX3","2017-12-23 11:32:48","withdrawal","currency","ZEUR",-11928.9100,0.0900,""
"LDSETB-WTYNI-SR24LA","TFUGMO-SJ6KA-D7YROA","2017-12-27 20:46:15","trade","currency","XMLN",-1.8000000000,0.0000000000,19.1739917500
"LO3IYZ-C7KJS-VMDJHC","TFUGMO-SJ6KA-D7YROA","2017-12-27 20:46:15","trade","currency","XXBT",0.0148788000,0.0000386800,0.0237518700
"LITPAU-OIMVR-XTFK6P","TKVKII-X4O5O-IBGEYC","2017-12-27 20:46:15","trade","currency","XMLN",-1.0212373000,0.0000000000,18.1527544500
