Uuid,Exchange,TimeStamp,OrderType,Limit,Quantity,QuantityRemaining,Commission,Price,PricePerUnit,IsConditional,Condition,ConditionTarget,ImmediateOrCancel,Closed
cf9d2821-13c1-4e9b-a9d9-b2deca72905b,BTC-FLO,11/20/2017 5:16:29 PM,LIMIT_SELL,0.00000865,2029.13346288,0.00000000,0.00004388,0.01755200,0.00000865,False,,0.00000000,True,11/20/2017 5:16:29 PM
cd0765f8-818a-4475-9144-4179676b379e,BTC-FLO,11/20/2017 5:17:01 PM,LIMIT_SELL,0.00000866,100.00000000,0.00000000,0.00000216,0.00086600,0.00000866,False,,0.00000000,True,11/20/2017 5:17:01 PM
d950ff53-eff1-46ea-883d-c634784c3038,BTC-FLO,11/20/2017 5:17:38 PM,LIMIT_SELL,0.00000858,10376.86348988,0.00000000,0.00022258,0.08903348,0.00000858,False,,0.00000000,True,11/20/2017 5:17:38 PM
5e4a4fe1-9ee9-4996-85ad-e27b33d1cd1b,BTC-PTOY,11/20/2017 5:20:10 PM,LIMIT_BUY,0.00002180,9151.37614679,0.00000000,0.00049875,0.19950000,0.00002180,False,,0.00000000,False,11/20/2017 5:20:20 PM
18f0071a-e738-420b-beac-b1b726fc0b53,BTC-GOLOS,11/19/2017 4:51:08 PM,LIMIT_SELL,0.00001490,1000.00000000,0.00000000,0.00003724,0.01489999,0.00001490,False,,0.00000000,False,11/23/2017 11:14:04 AM
c9e663e3-9151-492b-86ac-7317aca7b5ec,BTC-ETH,11/30/2017 2:43:58 PM,LIMIT_BUY,0.04345500,22.95478081,0.00000000,0.00249372,0.99749996,0.04345500,False,,0.00000000,False,11/30/2017 4:14:30 PM
5e2bbb55-cd37-495a-b86b-b8004a2dc71b,BTC-PTOY,11/20/2017 5:26:51 PM,LIMIT_SELL,0.00002950,7136.44067797,0.00000000,0.00052631,0.21052500,0.00002950,False,,0.00000000,False,12/12/2017 6:46:29 AM
70f9e7ef-650a-4192-8378-b55beb9e11c1,BTC-BTG,12/17/2017 8:55:10 AM,LIMIT_SELL,0.01511111,0.36032476,0.00000000,0.00001361,0.00544490,0.01511109,,,,,12/17/2017 8:55:10 AM
7509e8af-1ea3-4dbc-a862-5cc5a5297e95,BTC-ETH,12/18/2017 4:48:08 PM,LIMIT_BUY,0.03931010,10.00000000,9.95000000,0.00000491,0.00196550,0.03931000,False,,0.00000000,False,12/18/2017 4:57:40 PM
0c3ee967-497b-4dc8-ae1b-fefc2d60411d,BTC-ETH,12/18/2017 5:06:34 PM,LIMIT_BUY,0.03970607,10.00000000,0.00000000,0.00099264,0.39706069,0.03970607,False,,0.00000000,False,12/18/2017 5:06:41 PM
