DATE,TYPE,OUTAMOUNT,OUTCURRENCY,FEEAMOUNT,FEECURRENCY,OUTTXID,OUTTXURL,INAMOUNT,INCURRENCY,INTXID,INTXURL,ORDERID
Sat Aug 05 2017 07:18:05 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.995,ETH,0x28aef9037763d0db65cc7966faa7f565c5285fc39568e41942b65e64f500a1fa,https://etherscan.io/tx/0x28aef9037763d0db65cc7966faa7f565c5285fc39568e41942b65e64f500a1fa,
Sat Aug 05 2017 07:21:19 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.995,ETH,0x5035fae37781afe8cacd2ce6824281dc3e711c33e5906243526636665a903b9b,https://etherscan.io/tx/0x5035fae37781afe8cacd2ce6824281dc3e711c33e5906243526636665a903b9b,
Sat Aug 05 2017 07:23:53 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.995,ETH,0x7b8c63888b943ad7d86366fccf8d3d0d240a901f766b4c28a4171f5e7340b684,https://etherscan.io/tx/0x7b8c63888b943ad7d86366fccf8d3d0d240a901f766b4c28a4171f5e7340b684,
Sat Aug 05 2017 07:27:45 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.995,ETH,0x9715484507245adc21f09b81abbffb74e411e877baffa6b5cf2c7393b27b5a79,https://etherscan.io/tx/0x9715484507245adc21f09b81abbffb74e411e877baffa6b5cf2c7393b27b5a79,
Sat Aug 05 2017 07:31:17 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.995,ETH,0xa14eec937acd096807c62c051f2897eabcccbd2f121a662b0a5f99da5310e3c9,https://etherscan.io/tx/0xa14eec937acd096807c62c051f2897eabcccbd2f121a662b0a5f99da5310e3c9,
Sun Aug 06 2017 09:24:03 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.045,ETH,0xc0df22b598b20ac2c4d4d03585b3cbbde3a78f4afe1b7a96a65a1c3be1a2f5df,https://etherscan.io/tx/0xc0df22b598b20ac2c4d4d03585b3cbbde3a78f4afe1b7a96a65a1c3be1a2f5df,
Sun Aug 06 2017 09:26:16 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,2.33728284,ETH,0x46125fe160565ef56d0a912c56ef306cf899e5b970ba06b6cde3abc4f8e35521,https://etherscan.io/tx/0x46125fe160565ef56d0a912c56ef306cf899e5b970ba06b6cde3abc4f8e35521,
Sun Aug 06 2017 09:30:35 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.99,REP,0xe87e6d9740d97f343c9821cc3ef5e8bbafc61616120b39aaad038f480248b8d7,https://etherscan.io/tx/0xe87e6d9740d97f343c9821cc3ef5e8bbafc61616120b39aaad038f480248b8d7,
Sun Aug 06 2017 09:35:55 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,9.57536613,REP,0x1888063300a6bc13678ea6c723ef1c30d9ba9cf72f367ac48589acb1529faeb9,https://etherscan.io/tx/0x1888063300a6bc13678ea6c723ef1c30d9ba9cf72f367ac48589acb1529faeb9,
Sun Aug 06 2017 09:43:33 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,9.9,GNT,0x1526d7b3ba644e7aa0f941de716daeec72f710fd62efe3413c5cae8777bfa53c,https://etherscan.io/tx/0x1526d7b3ba644e7aa0f941de716daeec72f710fd62efe3413c5cae8777bfa53c,
Sun Aug 06 2017 10:02:56 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,1999.9,GNT,0x431927f00c6d16d36808c4ae8b8b678af38c553ecfabf6b8b184ed3cd7c68314,https://etherscan.io/tx/0x431927f00c6d16d36808c4ae8b8b678af38c553ecfabf6b8b184ed3cd7c68314,
Sun Aug 06 2017 10:10:18 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,1299.9,GNT,0x09ad41a04a730c28e77c2755abe5257f50c73bb98ce73a25b7895cc4667ea06b,https://etherscan.io/tx/0x09ad41a04a730c28e77c2755abe5257f50c73bb98ce73a25b7895cc4667ea06b,
Mon Aug 07 2017 11:24:10 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,9.9,GNT,0x12d5857009d158d70cab1b0b793488fd61973c546e466768fba2d996404a8cb1,https://etherscan.io/tx/0x12d5857009d158d70cab1b0b793488fd61973c546e466768fba2d996404a8cb1,
Mon Aug 07 2017 11:30:56 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,1999.9,GNT,0x632378cb7639aa0ff74d36192c5063ff8ae119b31c3810c13810c7aae1294196,https://etherscan.io/tx/0x632378cb7639aa0ff74d36192c5063ff8ae119b31c3810c13810c7aae1294196,
Mon Aug 07 2017 11:38:25 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,1999.9,GNT,0xd751238c0db1a87185e6be406e15099ec60dc7ba8e0f6fb8ef0ee7286cc26b6a,https://etherscan.io/tx/0xd751238c0db1a87185e6be406e15099ec60dc7ba8e0f6fb8ef0ee7286cc26b6a,
Mon Aug 07 2017 12:05:23 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.005,ETH,0xa3124b9d0e2b1af652695f0212f2a2520f568d439be20f8654818bc15fc2f176,https://etherscan.io/tx/0xa3124b9d0e2b1af652695f0212f2a2520f568d439be20f8654818bc15fc2f176,
Mon Aug 07 2017 12:08:38 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,2.31973569,ETH,0x5294e804cf21103df8c0a524357b1c22a34670ccb3d3a7d9af3b81d1283cb14b,https://etherscan.io/tx/0x5294e804cf21103df8c0a524357b1c22a34670ccb3d3a7d9af3b81d1283cb14b,
Tue Aug 08 2017 15:48:25 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.0009,BTC,b9b35461bcc976fd79323dc7c7dc598383203c1855aca0b3d66b27a5cfb530d4,https://blockstream.info/tx/b9b35461bcc976fd79323dc7c7dc598383203c1855aca0b3d66b27a5cfb530d4,
Tue Aug 08 2017 15:48:26 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.18523506,BTC,e3e865bd7afba04b5d8d7f618977fdb1dcc649126a424ab7a2650952d89a4993,https://blockstream.info/tx/e3e865bd7afba04b5d8d7f618977fdb1dcc649126a424ab7a2650952d89a4993,
Wed Aug 09 2017 20:03:02 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.0004,BTC,873004cba23ed2bbfa3b07a1a5dd6359ec93a4ee2c7b58833e7802e120c0fa5c,https://blockstream.info/tx/873004cba23ed2bbfa3b07a1a5dd6359ec93a4ee2c7b58833e7802e120c0fa5c,
Wed Aug 09 2017 20:12:21 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.0994,BTC,b64bd756bc820e917b7c7d1845f853817d48cdd2be85b617a6cf89944275f32d,https://blockstream.info/tx/b64bd756bc820e917b7c7d1845f853817d48cdd2be85b617a6cf89944275f32d,
Thu Aug 10 2017 07:41:40 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.0004,BTC,546fb38eb821d48603c804063e73c62ea7acaaf3c8e830f2796f4f59841921fb,https://blockstream.info/tx/546fb38eb821d48603c804063e73c62ea7acaaf3c8e830f2796f4f59841921fb,
Thu Aug 10 2017 07:41:41 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.4499,BTC,6a222e25d6a92edefc285393bc4a62d5ee61ee0fc5ccad9385fbbc3e034f06d0,https://blockstream.info/tx/6a222e25d6a92edefc285393bc4a62d5ee61ee0fc5ccad9385fbbc3e034f06d0,
Fri Aug 11 2017 08:26:47 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.0004,BTC,1b34dd72966191a7b9ba2bc154695ed2f86945af3250dcc581bfc346cc6ad605,https://blockstream.info/tx/1b34dd72966191a7b9ba2bc154695ed2f86945af3250dcc581bfc346cc6ad605,
Fri Aug 11 2017 08:26:48 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.25106504,BTC,495e1641a269b524eba34e882800c7bc63801e6df0a06713d06a8804f12ccb6f,https://blockstream.info/tx/495e1641a269b524eba34e882800c7bc63801e6df0a06713d06a8804f12ccb6f,
Thu Aug 17 2017 08:03:37 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.00252392,BTC,27bfd0ba55c9d374dd3810cd0e890bf37bed708beb520d0475a6a7af96c997cd,https://blockstream.info/tx/27bfd0ba55c9d374dd3810cd0e890bf37bed708beb520d0475a6a7af96c997cd,
Wed Oct 04 2017 00:19:05 GMT+0300 (שעון קיץ ירושלים),withdrawal,-1,REP,-0.001205474,ETH,0xf0155ab365cf7bb497bd97ba46a41a2b6b60241e8699c900a61a055edbdfa78b,https://etherscan.io/tx/0xf0155ab365cf7bb497bd97ba46a41a2b6b60241e8699c900a61a055edbdfa78b,,,,,
Wed Oct 04 2017 00:24:18 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.06327772,DASH,4b0b7e8aeb8b7a553011218f55901397a364baf9811f2cfcee9dfcb8fd554303,https://insight.dashevo.org/insight/tx/4b0b7e8aeb8b7a553011218f55901397a364baf9811f2cfcee9dfcb8fd554303,
Wed Oct 04 2017 00:27:21 GMT+0300 (שעון קיץ ירושלים),withdrawal,-63,REP,-0.001206952,ETH,0x685ae7c84c8e9248253994cc51a927541a15b9cf9fc087ad2dddd3dad6efe0bf,https://etherscan.io/tx/0x685ae7c84c8e9248253994cc51a927541a15b9cf9fc087ad2dddd3dad6efe0bf,,,,,
Wed Oct 04 2017 00:29:55 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,4.08798772,DASH,040d2305c507022e1638d725abf2bd5a26bdffd2565ca299e2215aed83c90dde,https://insight.dashevo.org/insight/tx/040d2305c507022e1638d725abf2bd5a26bdffd2565ca299e2215aed83c90dde,
Wed Oct 04 2017 18:12:09 GMT+0300 (שעון קיץ ירושלים),withdrawal,-3241.491086,GNT,-0.001199167,ETH,0x5d2c2e3555e9676a885403c4332a9c1ce84ed194095b5ff3dab5ea8b6dcea28f,https://etherscan.io/tx/0x5d2c2e3555e9676a885403c4332a9c1ce84ed194095b5ff3dab5ea8b6dcea28f,,,,,
Wed Oct 04 2017 18:16:24 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,15.40188493,LTC,2e133da9aa5c39c40091d1a24d3bd888246196f6a95ac201e2b08c24a5df8640,https://chainz.cryptoid.info/ltc/tx.dws?2e133da9aa5c39c40091d1a24d3bd888246196f6a95ac201e2b08c24a5df8640,
Thu Oct 05 2017 10:37:05 GMT+0300 (שעון קיץ ירושלים),withdrawal,-0.001,BTC,-0.00023278,BTC,2281a301ebceed3c10a19287643df08ccb28603948a2fbe014f14fc7d23d44ec,https://blockstream.info/tx/2281a301ebceed3c10a19287643df08ccb28603948a2fbe014f14fc7d23d44ec,,,,,
Thu Oct 05 2017 11:15:23 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.00079008,BTC,c25958d0b5e6abe8648b9fa74683b1c6dd3b935838620224601a2e5628a1826e,https://blockstream.info/tx/c25958d0b5e6abe8648b9fa74683b1c6dd3b935838620224601a2e5628a1826e,
Thu Oct 05 2017 22:05:35 GMT+0300 (שעון קיץ ירושלים),withdrawal,-0.01,BTC,-0.00081954,BTC,acf539a17a6c9acce1bf7b3ee3f7ebf9787cff0075d3b266faaa237ba65b24a6,https://blockstream.info/tx/acf539a17a6c9acce1bf7b3ee3f7ebf9787cff0075d3b266faaa237ba65b24a6,,,,,
Fri Oct 06 2017 07:04:40 GMT+0300 (שעון קיץ ירושלים),withdrawal,-0.1,BTC,-0.00026894,BTC,f143a37acdeffb56e165b656e026184103311e5f269b7f577f07dcdb745a0199,https://blockstream.info/tx/f143a37acdeffb56e165b656e026184103311e5f269b7f577f07dcdb745a0199,,,,,
Fri Oct 06 2017 07:17:31 GMT+0300 (שעון קיץ ירושלים),withdrawal,-0.2,BTC,-0.0009045,BTC,c91e5a0915e3b08c500422e147da43f75d475ecc759a4a3613c502811c03c7e5,https://blockstream.info/tx/c91e5a0915e3b08c500422e147da43f75d475ecc759a4a3613c502811c03c7e5,,,,,
Fri Oct 06 2017 07:52:57 GMT+0300 (שעון קיץ ירושלים),withdrawal,-0.3,BTC,-0.00029154,BTC,05ab0cf8d1e9060ecde262146df5f59ea1c20b599fc0d4b287c148087c5fc261,https://blockstream.info/tx/05ab0cf8d1e9060ecde262146df5f59ea1c20b599fc0d4b287c148087c5fc261,,,,,
Fri Oct 06 2017 12:26:59 GMT+0300 (שעון קיץ ירושלים),withdrawal,-0.3762698,BTC,-0.001227,BTC,c58c45fdea4c9eda9f483f404c4bfdf22c1c894128329f04e5233e890718b883,https://blockstream.info/tx/c58c45fdea4c9eda9f483f404c4bfdf22c1c894128329f04e5233e890718b883,,,,,
Fri Oct 06 2017 14:55:32 GMT+0300 (שעון קיץ ירושלים),withdrawal,-0.03,ETH,-0.000441,ETH,0xf99ef24a50a581a6143129c57f21da39ee15f45b517f0d0d900088d3e945c2df,https://etherscan.io/tx/0xf99ef24a50a581a6143129c57f21da39ee15f45b517f0d0d900088d3e945c2df,,,,,
Fri Oct 06 2017 14:58:44 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.029559,ETH,0xa7ab2edbfc4ea7845b5eacedfe856b8fd9e0ff4066565c84b52e021ebefb0943,https://etherscan.io/tx/0xa7ab2edbfc4ea7845b5eacedfe856b8fd9e0ff4066565c84b52e021ebefb0943,
Fri Oct 06 2017 15:00:54 GMT+0300 (שעון קיץ ירושלים),withdrawal,-1,ETH,-0.000441,ETH,0x042046e3dec0196429cc8dd2621912f05f17fd6f1aa3c3a3f1100d67365ecce3,https://etherscan.io/tx/0x042046e3dec0196429cc8dd2621912f05f17fd6f1aa3c3a3f1100d67365ecce3,,,,,
Fri Oct 06 2017 15:04:38 GMT+0300 (שעון קיץ ירושלים),withdrawal,-5,ETH,-0.000441,ETH,0xffadd06d6a50f092a3efda4a038d80f3447659f41d11a20f6a3591ca80260260,https://etherscan.io/tx/0xffadd06d6a50f092a3efda4a038d80f3447659f41d11a20f6a3591ca80260260,,,,,
Fri Oct 06 2017 15:06:29 GMT+0300 (שעון קיץ ירושלים),withdrawal,-6.171201937,ETH,-0.000441,ETH,0x1a4e8f7ca0e343cdc619f732946888bf013bd79b5154efb0f0f969b2dd8d5b06,https://etherscan.io/tx/0x1a4e8f7ca0e343cdc619f732946888bf013bd79b5154efb0f0f969b2dd8d5b06,,,,,
