txid,refid,time,type,aclass,asset,amount,fee,balance
LLBWOV-VWGQZ-SXURFR,TTQ7JA-7OSLL-JQJYE4,2017-10-22 15:22:25,trade,currency,XXBT,-0.47743042,0.00124251,0.00091175
LYZKOK-JJVOX-FROYK7,TTQ7JA-7OSLL-JQJYE4,2017-10-22 15:22:25,trade,currency,ZEUR,2428.6408,0,10008.9143
LIDGJS-7WUGS-A7GHIO,TRFALF-4FHVV-MTDQH6,2017-10-25 16:03:52,trade,currency,XXBT,-0.62062979,0,0.97828196
LXP7LE-73YVY-G4VXRO,TRFALF-4FHVV-MTDQH6,2017-10-25 16:03:52,trade,currency,ZEUR,2927.2625,4.6836,12931.4932
L25FDA-JRK3O-YJLTJF,TJLF73-7MEQX-B6DT3E,2017-10-25 16:04:49,trade,currency,XXBT,-0.24884983,0,0.72943213
LYMNEH-6GE4W-PLENZT,TJLF73-7MEQX-B6DT3E,2017-10-25 16:04:49,trade,currency,ZEUR,1173.7251,1.878,14103.3403
LZMNW5-R37JM-5H6UH2,TAWMIZ-Q7FBQ-OYI6CO,2017-10-25 16:04:49,trade,currency,XXBT,-0.16451403,0,0.5649181
LYX7ZA-OS3WR-6EW6ON,TAWMIZ-Q7FBQ-OYI6CO,2017-10-25 16:04:49,trade,currency,ZEUR,775.9469,1.2415,14878.0457
L6Q5S4-IZZQI-CJEU56,TEZJ76-YQ4NE-CQW3YU,2017-10-25 16:04:49,trade,currency,XXBT,-0.06600635,0,0.49891175
LO4A4P-4J7CV-NEWEHO,TEZJ76-YQ4NE-CQW3YU,2017-10-25 16:04:49,trade,currency,ZEUR,311.3256,0.4981,15188.8732
LT3JRA-WH6C2-M23TTP,TV5QUD-QGJJL-2Q3OZL,2017-11-02 18:30:57,trade,currency,XXBT,-0.00491,0,1.19400175
LOCBIU-PFLYN-3ISCTR,TV5QUD-QGJJL-2Q3OZL,2017-11-02 18:30:57,trade,currency,ZEUR,29.2636,0.0761,15218.0607
L7IUF3-BOABX-TDMGYC,TQIBN4-D73SE-PS5WTQ,2017-11-02 18:30:57,trade,currency,XXBT,-0.00503685,0,1.1889649
LXNGK3-5BCNE-XAA42Q,TQIBN4-D73SE-PS5WTQ,2017-11-02 18:30:57,trade,currency,ZEUR,30,0.078,15247.9827
LC6PNP-533M5-HI3FUQ,T6OLI2-HDEV2-4GRI3X,2017-11-02 18:30:57,trade,currency,XXBT,-0.38005315,0,0.80891175
LPJNRT-ZF2PG-2NO3VA,T6OLI2-HDEV2-4GRI3X,2017-11-02 18:30:57,trade,currency,ZEUR,2263.5966,5.8854,17505.6939
LN4D5G-3TPFD-DPYFZ3,TLOS3M-ONUSD-566I5V,2017-11-14 15:38:28,trade,currency,XXBT,-0.10305875,0,0.705853
LP6G7N-HHNC2-QHVF7X,TLOS3M-ONUSD-566I5V,2017-11-14 15:38:28,trade,currency,ZEUR,583.3125,1.5166,18087.4898
LHIPXI-WGZ4V-MFDKOL,TXVR5U-7OCVB-RMGKM7,2017-11-14 15:38:29,trade,currency,XXBT,-0.03,0,0.675853
LWMXE7-DG5U6-YDEWYZ,TXVR5U-7OCVB-RMGKM7,2017-11-14 15:38:29,trade,currency,ZEUR,169.8,0.4415,18256.8483
LOCOG2-LS53S-4J7BS6,TDMG3O-RG26G-3EDVSV,2017-11-14 15:38:29,trade,currency,XXBT,-0.0997809,0,0.5760721
LX6EVU-6POW2-G3TLYX,TDMG3O-RG26G-3EDVSV,2017-11-14 15:38:29,trade,currency,ZEUR,564.7599,1.4684,18820.1398
LOK3DE-YVJRQ-W5K25K,TKIWEE-KDWOF-FNATNS,2017-11-14 15:38:29,trade,currency,XXBT,-0.1742,0,0.4018721
LY76LG-LZEBU-VAKRH4,TKIWEE-KDWOF-FNATNS,2017-11-14 15:38:29,trade,currency,ZEUR,985.972,2.5635,19803.5483
LI6PRC-7JLBG-YZ2ZIZ,TOVEUY-CNWAO-BYC74O,2017-11-14 15:38:29,trade,currency,XXBT,-0.39296035,0,0.00891175
LZKXJG-CUP7C-ILUZFB,TOVEUY-CNWAO-BYC74O,2017-11-14 15:38:29,trade,currency,ZEUR,2224.1556,5.7828,22021.9211
LJ44SX-LGZVJ-NR7GC3,T6UUSC-WRNXS-P4YWPG,2017-11-21 19:58:49,trade,currency,XREP,-1.08261623,0,8.89138856
LSIXRI-AE3KK-27X4UV,T6UUSC-WRNXS-P4YWPG,2017-11-21 19:58:49,trade,currency,XETH,0.062402,0.000162,0.36790169
LVUAYZ-U32VV-B5TUQ5,TGYGWS-LVV7U-IY7DHU,2017-11-21 19:58:49,trade,currency,XREP,-7.32329456,0,1.568094
LPOJ4U-6657D-QNSO6A,TGYGWS-LVV7U-IY7DHU,2017-11-21 19:58:49,trade,currency,XETH,0.421895,0.001097,0.78869969
LYWYDE-AQWU2-XMCA5E,TSDOGA-33WJU-3TCK6T,2017-11-21 19:58:49,trade,currency,XREP,-0.59408921,0,0.97400479
LEUJ3Y-AN3XO-EC3OK2,TSDOGA-33WJU-3TCK6T,2017-11-21 19:58:49,trade,currency,XETH,0.03422,8.9E-05,0.82283069
LDSETB-WTYNI-SR24LA,TFUGMO-SJ6KA-D7YROA,2017-12-27 20:46:15,trade,currency,XMLN,-1.8,0,19.17399175
LO3IYZ-C7KJS-VMDJHC,TFUGMO-SJ6KA-D7YROA,2017-12-27 20:46:15,trade,currency,XXBT,0.0148788,3.868E-05,0.02375187
LITPAU-OIMVR-XTFK6P,TKVKII-X4O5O-IBGEYC,2017-12-27 20:46:15,trade,currency,XMLN,-1.0212373,0,18.15275445
LPZ5PF-VSXWG-DM55BP,TKVKII-X4O5O-IBGEYC,2017-12-27 20:46:15,trade,currency,XXBT,0.0083956,2.182E-05,0.03212565
LDLV6Q-G2ODI-RTX6CG,TG74FL-CC4AX-ZF6RO5,2017-12-27 20:46:15,trade,currency,XMLN,-2.0690964,0,16.08365805
LD54OY-JFXYV-53LFLJ,TG74FL-CC4AX-ZF6RO5,2017-12-27 20:46:15,trade,currency,XXBT,0.0170059,4.422E-05,0.04908733
L7VCBR-SR7J3-RV75LH,TUZDGV-Y4JAU-DY5677,2017-12-27 20:46:15,trade,currency,XMLN,-9,0,7.08365805
LPKUWV-AK3M6-L4KQ34,TUZDGV-Y4JAU-DY5677,2017-12-27 20:46:15,trade,currency,XXBT,0.073962,0.0001923,0.12285703
LF7B74-ZJPFO-EKNRXE,TYK65O-HVMOC-N54BOY,2017-12-27 20:46:15,trade,currency,XMLN,-1.5,0,5.58365805
LEQSIQ-UVHWT-VSLDAC,TYK65O-HVMOC-N54BOY,2017-12-27 20:46:15,trade,currency,XXBT,0.0123225,3.204E-05,0.13514749
LL7X5N-UQTO6-ACZMDV,TKK2WH-WRQRO-G6QMJE,2017-12-27 20:46:21,trade,currency,XMLN,-1.23456352,0,4.34909453
