transactionId,transactionHash,date,market,makerOrTaker,buyOrSell,tokenAmount,etherAmount,usdValue,fee,gasFee,feesPaidIn
5673266,0xcec7afa6b563dfdd99632971c4cb214f801b5bc6441a68e269e3e6407e85adc1,2020-07-08 14:20:14,AUC/ETH,maker,sell,4558.38666667,2.73503200,665.17,0.00273503200000436,N/A,ETH
5671489,0xd6881cfafff2197aec923095059334b95fdbd5b2d39a33a1a0c1748f4467d579,2020-07-08 04:16:44,AUC/ETH,maker,sell,6999.99999991,4.165,996.05,0.004164999999948552,N/A,ETH
5619607,0x55b426539c24ec1ffecb136fa7847e7f764e66db7b97238c72498a0d1a58ac9d,2020-06-26 13:41:29,AUC/ETH,maker,sell,15000,6,1385.46,0.006,N/A,ETH
5619596,0xc3bcbedd29d92774282d8a8d558fbee4c0f69c0a5064e4eaa63632b8342bb1eb,2020-06-26 13:40:22,AUC/ETH,maker,sell,15000,5.7,1316.17,0.0057,N/A,ETH
5615158,0x41edf2bf12921b2fdc76c436bd7106d244cf4e3091d8786dba3b1819fcadeb56,2020-06-25 13:42:28,AUC/ETH,maker,sell,11888.62246206,3.56658674,834.48,0.003566586738617956,N/A,ETH
5615157,0x82f03eea49cb26457219bd764497df0d00870e74eb60082eb81e7487c6ccfea0,2020-06-25 13:42:12,AUC/ETH,maker,sell,3000,0.9,210.56,0.0009,N/A,ETH
5615153,0x5b3088bb9163dc515ad83dad02d87f8daae14c1b408697f89badcf323370288e,2020-06-25 13:41:11,AUC/ETH,maker,sell,2318.85560827,0.69565668,162.89,0.000695656682481745,N/A,ETH
5615137,0x8856314dc5796bc33f9884f902452cd5e709e269aa90b4c89f655970d44c573f,2020-06-25 13:34:16,AUC/ETH,maker,sell,2792.52192967,0.83775658,196.08,0.000837756578900299,N/A,ETH
5586258,0x7b830cab782a24e0297a778e9cc36ba7012ec7600dfcab8a274ddc0adc7d6a67,2020-06-19 00:50:02,AUC/ETH,maker,sell,19385.38232192,4.84634558,1113.93,0.004846345580478847,N/A,ETH
5586246,0xf4a3be7c780844c8e84f8cd0a750ba6871973d39847e2f0ffa7ce51a793fac9b,2020-06-19 00:46:41,AUC/ETH,maker,sell,617.61767808,0.15440442,35.51,0.000154404419521153,N/A,ETH
5583696,0x6b0e753c9f2249442c031d81bbf7f8143c9ca35bcbbef6b65daa512d44c64154,2020-06-18 10:45:08,AUC/ETH,maker,sell,15000,3,699.08,0.003,N/A,ETH
5582849,0xd9b5519204d1f90127972503913a97f421e48c5ca9874de678ab46d5832d0ecc,2020-06-18 04:29:17,AUC/ETH,maker,sell,3964.68895321,0.71364401,166.65,0.00071364401157796,N/A,ETH
